nama_paket_soal;tingkat_kesulitan;url_image;soal;pilihan1;pilihan2;pilihan3;pilihan4;pilihan5;jawaban;pembahasan;hint;poin;check_qc;nama_qc
;mudah;;;;;;;;;;;;Uncheck;-
;sedang;;;;;;;;;;;;Uncheck;-
;sulit;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
;;;;;;;;;;;;;Uncheck;-
